,Review,Sentiment
111,Mind-blowing purchase Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,Positive
112,Just wow! checked at Sunrisetnt.com . found genuineREAD MORE,Positive
113,Did not meet expectations Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,Negative
114,Not good AverageREAD MORE,Negative
115,"Excellent shuttlecocks Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",Positive
116,Best in the market! Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,Positive
117,"Not recommended at all Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",Negative
118,Awesome Best shuttle available online no more discription needed.READ MORE,Positive
119,Just wow! long lasting product.....nice product....READ MORE,Positive
120,Terrific best shuttleREAD MORE,Positive
121,Super! 🏸Good Quality... 🏸READ MORE,Positive
122,Awesome Fabulous itemREAD MORE,Positive
123,Awesome Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,Positive
137,Must buy! It's is good product and the service was very goodREAD MORE,Positive
138,Not recommended at all 2nd qualityREAD MORE,Negative
139,Moderate Local productREAD MORE,Negative
140,Not good Very old stock.. not lasts to even 5 gamesREAD MORE,Negative
141,Utterly Disappointed All shuttles are not good in view of balance.READ MORE,Negative
142,Just wow! OkREAD MORE,Positive
143,Terrific purchase Nice product all suttles are good 🥰🥰READ MORE,Positive
144,Excellent Nice productREAD MORE,Positive
145,Could be way better Old one onlyREAD MORE,Negative
146,Perfect product! Super ballREAD MORE,Positive
147,Must buy! According to cost it's average lifeREAD MORE,Positive
148,Slightly disappointed So worstREAD MORE,Negative
149,Not recommended at all 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,Negative
150,Did not meet expectations Quality not good              It was broken after 2 matchREAD MORE,Negative
151,Not good Nice product but damage in 1 daysREAD MORE,Negative
152,Useless product Not good at all this is the worst product I have bought at flipkartREAD MORE,Negative
153,Absolute rubbish! Low quality. Not durabalityREAD MORE,Positive
154,Hated it! BadlyREAD MORE,Negative
155,Don't waste your money Very bad qualityREAD MORE,Negative
156,Waste of money! Very bad product a word to describe I write duplicate productREAD MORE,Negative
157,Absolute rubbish! This time quality very very worstREAD MORE,Negative
158,Expected a better product Poor quality ☹️READ MORE,Negative
159,Horrible Very  low bad quality product Flipkart is fooling everyoneREAD MORE,Neutral
160,"Expected a better product This shuttles were duplicates, these were not up to the mark.READ MORE",Negative
161,Useless product Very bad product I ever receivedREAD MORE,Negative
162,Don't waste your money Bad copy quality riceveREAD MORE,Negative
163,Very poor Waste of moneyREAD MORE,Negative
164,Worthless Quality is very bad and very very tired class shuttecockREAD MORE,Negative
165,Unsatisfactory WorstREAD MORE,Negative
166,Useless product So poor qualityREAD MORE,Negative
167,Worthless Reate is wery to muchREAD MORE,Negative
168,Absolute rubbish! The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,Negative
169,Expected a better product not upto mark cork getting cracksREAD MORE,Negative
170,Horrible Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,Negative
171,"Utterly Disappointed Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",Negative
172,Must buy! Very goodREAD MORE,Positive
173,Classy product Good quality of shuttlesREAD MORE,Positive
174,"Brilliant I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",Positive
175,Terrible product Bad productedREAD MORE,Negative
176,Delightful Good productREAD MORE,Positive
177,Does the job Received counterfeit product.READ MORE,Neutral
178,Fabulous! If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,Positive
179,Terrific purchase Good productREAD MORE,Positive
180,Nice One day 1cap gaanREAD MORE,Neutral
181,Just wow! GoodREAD MORE,Positive
182,Best in the market! Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,Positive
183,Best in the market! Good qualityREAD MORE,Positive
184,Good Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,Neutral
185,Worth every penny BestREAD MORE,Positive
186,Good quality product I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,Positive
187,Great product This item is so good you can buy it it is originalREAD MORE,Positive
188,Wonderful Excellent for Indoor courtREAD MORE,Positive
189,Great product Genuine product. Nice packing.READ MORE,Positive
190,Highly recommended Good quality..😍🖤READ MORE,Positive
191,Very Good Nice thanks  FlipkartREAD MORE,Positive
192,Perfect product! Nice productREAD MORE,Positive
193,"Good Gradual decrease in quality, less longevity.READ MORE",Neutral
194,Perfect product! Nice productREAD MORE,Positive
195,Pretty good wow productREAD MORE,Positive
196,Did not meet expectations 1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,Negative
197,Useless product Product is not same as shown in the picture.READ MORE,Negative
198,Nice just Average.... not 100% goodREAD MORE,Neutral
199,"Utterly Disappointed I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",Negative
200,Moderate Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,Negative
201,Decent product I found that some of the shuttle are differentREAD MORE,Neutral
202,Very poor shuttle was not of genuine conectarte qualityREAD MORE,Negative
203,Unsatisfactory poor qualityREAD MORE,Negative
204,Nice product 2 balls are waste. they are rotate. unable to play.READ MORE,Positive
205,Worthless very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,Negative
206,Best in the market! original productREAD MORE,Positive
207,Not good Shuttle not goodREAD MORE,Negative
208,Excellent good as expectedREAD MORE,Positive
209,Highly recommended goodREAD MORE,Positive
210,Waste of money! Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,Negative
211,"Must buy! Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",Positive
212,Nice product Good👍READ MORE,Positive
213,Simply awesome very niceREAD MORE,Positive
214,Best in the market! niceREAD MORE,Positive
215,Awesome nice shuttle for outdoorREAD MORE,Positive
216,Brilliant good productREAD MORE,Positive
217,Great product amazing cost and amazing oneREAD MORE,Positive
218,Nice product The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,Positive
219,Just wow! good dilevary and very good productREAD MORE,Positive
220,Fair it's worthREAD MORE,Neutral
221,Just okay GoodREAD MORE,Neutral
222,Did not meet expectations Looks like these are fake shuttles & not sold by yonex.READ MORE,Negative
223,Unsatisfactory worst product not to buy low qualityREAD MORE,Negative
224,Worst experience ever! shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,Negative
225,Hated it! product is not goodREAD MORE,Negative
226,"Terrible product 5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",Negative
227,Hated it! bad qualityREAD MORE,Negative
228,Simply awesome Very good productREAD MORE,Positive
229,Simply awesome best quality shuttlesREAD MORE,Positive
230,Classy product good quality. value the moneyREAD MORE,Positive
231,Good very goodREAD MORE,Neutral
232,Hated it! Very worstREAD MORE,Negative
233,Very Good NOT BAD....READ MORE,Positive
234,Classy product shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,Positive
235,"Utterly Disappointed Bad Quality,,,,,,READ MORE",Negative
236,Bad quality Quality is not good. Little bit fast.READ MORE,Negative
237,Must buy! Excellent it's original as I buy in local sports storesREAD MORE,Positive
238,"Unsatisfactory Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",Negative
239,Unsatisfactory The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,Negative
240,Highly recommended Nice product best price superREAD MORE,Positive
241,Fair If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,Neutral
242,Very Good Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,Positive
243,Absolute rubbish! It's not suitable for outdoorREAD MORE,Negative
244,Not good It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,Negative
245,Moderate Horrible shuttle I ever playREAD MORE,Negative
246,"Worth every penny Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",Positive
247,Does the job One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,Neutral
248,"Classy product Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",Positive
249,Best in the market! Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,Positive
250,"Terrific purchase Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",Positive
251,Simply awesome nice itemsREAD MORE,Positive
252,Fabulous! Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,Positive
253,Mind-blowing purchase shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,Positive
254,Great product I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,Positive
255,Mind-blowing purchase it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,Positive
256,Decent product Not convinced with the quality of product.READ MORE,Neutral
257,"Utterly Disappointed There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",Negative
258,Nice okREAD MORE,Neutral
259,good Value for MoneyREAD MORE,Positive
260,Classy product Excellent product but cost is higherREAD MORE,Positive
261,Moderate one Shuttle just broken in 4 days by a smashREAD MORE,Negative
262,"Absolute rubbish! Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",Negative
263,"Excellent nice shuttle , The Flight is correct, and good durability.READ MORE",Positive
264,Good choice Ball best but local rate are highREAD MORE,Positive
266,"Value-for-money Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",Positive
267,Worth every penny Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,Positive
268,Absolute rubbish! Very worst rateREAD MORE,Negative
269,very good shuttle has long life and light.READ MORE,Positive
270,Worst experience ever! Worst product.Dont go for it.It will not stand for an hour playREAD MORE,Negative
272,Just wow! Better for beginnersREAD MORE,Positive
273,"Did not meet expectations shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",Negative
274,Moderate Its okkREAD MORE,Negative
275,quality not same 1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,Negative
276,Super! Nice product for practiceREAD MORE,Positive
277,Fabulous! ExcellentREAD MORE,Positive
278,Classy product Good oneREAD MORE,Positive
279,Excellent NiceREAD MORE,Positive
280,Good quality product GoodREAD MORE,Positive
281,Must buy! It is good .READ MORE,Positive
282,Classy product Original product with great discountREAD MORE,Positive
283,Above-average product Good productREAD MORE,Neutral
284,"Must buy! Absolutely good quality shuttles,and great packing by the team.READ MORE",Positive
286,"Worth every penny Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",Positive
288,Could be way better Poor product...READ MORE,Negative
289,Slightly disappointed Poor qualityREAD MORE,Negative
290,Fabulous! Value for moneyREAD MORE,Positive
291,Fair Not badREAD MORE,Neutral
729,Classy product It's really awesomeREAD MORE,Positive
730,Delightful SuperREAD MORE,Positive
731,Awesome GoodREAD MORE,Positive
732,Excellent Good productREAD MORE,Positive
733,Awesome The shuttle is working perfectlyREAD MORE,Positive
734,Terrific purchase NiceREAD MORE,Positive
735,Great product GudREAD MORE,Positive
736,Wonderful Super goodREAD MORE,Positive
737,Value-for-money Better to intermediate nd biggnerREAD MORE,Positive
738,Delightful goodREAD MORE,Positive
739,"Best in the market! Good product,READ MORE",Positive
740,Terrific purchase FineREAD MORE,Positive
741,Wonderful Super exalent iam very happy thank youREAD MORE,Positive
742,Fair Not as we expected in qualityREAD MORE,Neutral
743,Worthless Very bad qualityREAD MORE,Positive
744,Terrific purchase NiceREAD MORE,Positive
745,"Horrible Waste product.High speed shuttles, not useful to intermediate or advanced players.Looting money with sub-standard Products😡READ MORE",Negative
746,Wonderful GoodREAD MORE,Positive
747,Must buy! Fabulous shuttlecock is good for all medium playersREAD MORE,Positive
748,Not good WorstREAD MORE,Negative
749,Really Nice GoodREAD MORE,Positive
750,"Terrible product When I order Yonex MAVIS 350 Slow Speed ball but he send some low quality ball, not puy tha product really worst quality don't buy this product pleaseREAD MORE",Negative
751,Worth the money It wa goodREAD MORE,Positive
752,Delightful SuperREAD MORE,Positive
753,Perfect product! GoodREAD MORE,Positive
754,Best in the market! Awsome product and one shuttle wears out in 8 gamesREAD MORE,Positive
755,Mind-blowing purchase Very good quality productREAD MORE,Positive
756,Must buy! Good quality.READ MORE,Positive
757,Wonderful Nice shuttlecocksREAD MORE,Positive
758,Worth the money GoodREAD MORE,Positive
759,Does the job old productREAD MORE,Neutral
760,Brilliant GoodREAD MORE,Positive
761,Good quality product Good ProductREAD MORE,Positive
762,Not recommended at all Very bad 😤😤😤😤😤😤😤READ MORE,Negative
763,Terrific purchase Orginal quality productREAD MORE,Positive
764,Good quality product Good but high price...READ MORE,Positive
765,Excellent Best shuttlecocks in indoor and outdoor badmintonREAD MORE,Positive
766,Super! GoodREAD MORE,Positive
767,Absolute rubbish! Worst qualityREAD MORE,Negative
768,Excellent Excellent productREAD MORE,Positive
769,Just wow! ExlentREAD MORE,Positive
770,Terrific GoodREAD MORE,Positive
771,Very Good SuperREAD MORE,Positive
772,Fabulous! PerfectREAD MORE,Positive
773,Worth the money Good but very costlyREAD MORE,Positive
774,Great product Good product👍READ MORE,Positive
775,Wonderful GoodREAD MORE,Positive
776,Awesome Very goodREAD MORE,Positive
777,"Highly recommended Very good quality, happy with the purchaseREAD MORE",Positive
778,Brilliant It's original and it's the best.Go for it without hesitation.READ MORE,Positive
779,Wonderful Good product. great experienceREAD MORE,Positive
780,Worth every penny Shuttle is very good 🙂READ MORE,Positive
781,Terrific purchase Tq flippy it's original barrelREAD MORE,Positive
782,Really Nice Real Yonex..satisfiedREAD MORE,Positive
783,Perfect product! SuperREAD MORE,Positive
784,Awesome Best shuttle of Mavis company. And thanks to flipcart service .READ MORE,Positive
785,Just wow! SuperREAD MORE,Positive
786,Mind-blowing purchase To goodREAD MORE,Positive
787,Super! BestREAD MORE,Positive
788,Simply awesome awesomeREAD MORE,Positive
789,Nice product Awesome quality.READ MORE,Positive
790,Very Good GoodREAD MORE,Positive
791,Mind-blowing purchase GoodREAD MORE,Positive
792,Terrific purchase Nice 👍READ MORE,Positive
793,Terrific purchase Awesome product indeed. The closest to feather shuttleREAD MORE,Positive
794,Awesome PerfectREAD MORE,Positive
795,"Terrific purchase Nice product with best quality, if you are beginner  just go for it.Really worth for the money you spent.READ MORE",Positive
796,Worth every penny Perfectly geniune product....Thank you seller....READ MORE,Positive
797,Mind-blowing purchase Very good productREAD MORE,Negative
798,Terrific purchase Best in classREAD MORE,Positive
799,Highly recommended SuperREAD MORE,Positive
800,Simply awesome GreatREAD MORE,Positive
801,Simply awesome GoodREAD MORE,Positive
802,Highly recommended NiceREAD MORE,Positive
803,Brilliant GoodREAD MORE,Positive
