,Review Title,Up Votes,Down Votes,Month,Review text,Ratings,Year,Sentiment
31,Very Good,216.0,219.0,Mar,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4,2020,Positive
35,Not good,2.0,0.0,Jan,shuttle is over rotatingREAD MORE,2,2022,Negative
36,Absolute rubbish!,3.0,0.0,Mar,Very bad quality.READ MORE,1,2021,Negative
37,Worst experience ever!,2.0,0.0,Feb,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1,2021,Negative
38,Decent product,3.0,0.0,Jan,Not expecting this kind of products from flipkart.READ MORE,3,2021,Neutral
39,Awesome,3.0,0.0,May,No one better shuttles in the market.good quality and reasonable price.READ MORE,5,2017,Positive
40,Did not meet expectations,4.0,1.0,Mar,low qualityREAD MORE,1,2019,Negative
41,Really Nice,8.0,3.0,Nov,Superb quality... And best price.. Thanks to flipkart..!READ MORE,4,2018,Positive
42,Utterly Disappointed,4.0,1.0,Aug,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1,2018,Negative
43,Really Nice,5.0,1.0,Dec,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4,2018,Positive
45,Absolute rubbish!,1.0,0.0,Oct,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1,2022,Negative
46,Horrible,1.0,0.0,Sep,"Quality is not good, rejected qualityREAD MORE",1,2022,Negative
47,Mind-blowing purchase,1.0,0.0,Nov,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5,2021,Positive
48,Terrific purchase,0.0,0.0,Oct,Really Nice productQuick delivery Thanks filpkartREAD MORE,5,2021,Positive
49,Awesome,2.0,0.0,Aug,Very nice shuttleREAD MORE,5,2021,Positive
50,Don't waste your money,0.0,0.0,Jun,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1,2021,Negative
51,Worst experience ever!,0.0,0.0,Jun,Quality very low. Not orginalREAD MORE,1,2021,Negative
52,Unsatisfactory,0.0,0.0,Jun,WorstREAD MORE,1,2021,Negative
53,Very poor,0.0,0.0,Jun,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1,2021,Negative
54,Worst experience ever!,0.0,0.0,Jun,Dont but it.... worst productREAD MORE,1,2021,Negative
55,Very poor,0.0,0.0,Jun,Low quality very bad quality 😡READ MORE,1,2021,Negative
56,Utterly Disappointed,0.0,0.0,May,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1,2021,Negative
57,Worthless,0.0,0.0,May,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1,2021,Negative
58,Absolute rubbish!,0.0,0.0,May,Not genuine productREAD MORE,1,2021,Negative
59,Waste of money!,0.0,0.0,May,Waste productREAD MORE,1,2021,Negative
60,Absolute rubbish!,0.0,0.0,May,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1,2021,Negative
61,Waste of money!,0.0,0.0,May,Very High PriceREAD MORE,1,2021,Negative
62,Waste of money!,0.0,0.0,Apr,"Bad bad , compare to ah year back coming mavis 350READ MORE",1,2021,Negative
63,Just wow!,2.0,0.0,Apr,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5,2021,Positive
64,Worst experience ever!,0.0,0.0,Apr,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1,2021,Negative
65,Very poor,0.0,0.0,Apr,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1,2021,Negative
66,Don't waste your money,0.0,0.0,Apr,3rd class quality  I want Returns but time is overREAD MORE,1,2021,Negative
67,Very poor,0.0,0.0,Apr,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1,2021,Negative
68,Not recommended at all,0.0,0.0,Apr,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1,2021,Negative
69,Absolute rubbish!,0.0,0.0,Apr,Very bad quality 👎READ MORE,1,2021,Negative
70,Terrible product,1.0,0.0,Feb,Not expected qualityREAD MORE,1,2021,Negative
71,Don't waste your money,1.0,0.0,Feb,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1,2021,Negative
72,Waste of money!,1.0,0.0,Jan,not durable. very poor qualityREAD MORE,1,2021,Negative
73,Good quality product,1.0,0.0,Jan,but price is littel bit highREAD MORE,4,2021,Positive
74,Terrific purchase,0.0,0.0,Sep,GoodREAD MORE,5,2020,Positive
75,Just okay,1.0,0.0,Aug,NiceREAD MORE,3,2020,Neutral
76,Perfect product!,0.0,0.0,Jul,not the required one.READ MORE,5,2020,Positive
77,Not recommended at all,2.0,0.0,Jul,This product is not original.please avoid online purchase.READ MORE,1,2020,Negative
78,Worthless,1.0,0.0,Jul,One shuttle was damaged and vobling..let me know what to doREAD MORE,1,2020,Negative
79,Good choice,0.0,0.0,Mar,Good quality productREAD MORE,4,2020,Positive
80,Terrific purchase,0.0,0.0,Dec,Good shuttle and  classic productREAD MORE,5,2019,Positive
81,Don't waste your money,2.0,0.0,Sep,got defective piecesREAD MORE,1,2019,Negative
82,Horrible,1.0,0.0,Jun,"bad packing, unsatisfiedREAD MORE",1,2019,Negative
83,Awesome,1.0,0.0,Apr,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5,2019,Positive
84,Super!,2.0,0.0,Apr,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5,2019,Positive
85,Brilliant,2.0,0.0,Feb,Nice cockeREAD MORE,5,2019,Positive
86,Just wow!,2.0,0.0,Feb,Good qualityREAD MORE,5,2019,Positive
87,Duplicate product sold by RetailNet.,2.0,0.0,Jan,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1,2019,Negative
88,Really Nice,2.0,0.0,Jan,it's awsm 😎READ MORE,4,2019,Positive
89,Best in the market!,2.0,0.0,Dec,reasonable priceREAD MORE,5,2018,Positive
90,Super!,2.0,0.0,May,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5,2018,Positive
91,Just wow!,2.0,2.0,Sep,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5,2017,Positive
92,Delightful,1.0,1.0,Jan,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4,2018,Positive
93,Good for starters but not the best.,1.0,1.0,Jan,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4,2018,Positive
94,Wonderful,1.0,1.0,Dec,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4,2017,Positive
95,Simply awesome,1.0,1.0,Oct,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5,2017,Positive
96,Worth every penny,8.0,5.0,Apr,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5,2018,Positive
97,Mind-blowing purchase,6.0,2.0,Jan,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5,2019,Positive
98,Wonderful,0.0,0.0,May,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4,2018,Positive
99,Delightful,0.0,0.0,May,very good product n durable but not good enough speed slows down little in mid airREAD MORE,4,2018,Positive
100,Brand new and Genuine,0.0,0.0,Apr,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4,2018,Positive
101,Must buy!,0.0,0.0,Feb,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5,2018,Positive
102,Nice product,0.0,2.0,Sep,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4,2017,Positive
103,Simply awesome,2.0,0.0,Jan,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5,2022,Positive
104,Hated it!,3.0,1.0,Dec,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1,2021,Negative
105,Unsatisfactory,1.0,1.0,Feb,Cost is too high I hate the productREAD MORE,1,2021,Negative
106,Utterly Disappointed,1.0,1.0,Dec,Very poor quality...inconsistent speed...poor flightREAD MORE,1,2020,Negative
107,Excellent,3.0,0.0,Feb,Yonex is always best in quality....READ MORE,5,2019,Positive
108,Worthless,3.0,1.0,Jul,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1,2018,Negative
109,MAVIS 350,3.0,0.0,Apr,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5,2019,Positive
110,Excellent,4.0,1.0,Mar,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5,2018,Positive
111,Mind-blowing purchase,4.0,2.0,May,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5,2017,Positive
112,Just wow!,4.0,2.0,Oct,checked at Sunrisetnt.com . found genuineREAD MORE,5,2018,Positive
113,Did not meet expectations,4.0,5.0,Jun,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1,2021,Negative
114,Not good,2.0,2.0,Dec,AverageREAD MORE,2,2019,Negative
115,Excellent shuttlecocks,3.0,2.0,Jul,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5,2017,Positive
116,Best in the market!,3.0,2.0,May,Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,5,2019,Positive
117,Not recommended at all,3.0,4.0,Aug,"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",1,2018,Negative
118,Awesome,2.0,1.0,Oct,Best shuttle available online no more discription needed.READ MORE,5,2021,Positive
119,Just wow!,0.0,1.0,Nov,long lasting product.....nice product....READ MORE,5,2019,Positive
120,Terrific,2.0,0.0,Jul,best shuttleREAD MORE,5,2019,Positive
121,Super!,1.0,1.0,Feb,🏸Good Quality... 🏸READ MORE,5,2019,Positive
122,Awesome,2.0,0.0,Jan,Fabulous itemREAD MORE,5,2019,Positive
123,Awesome,1.0,0.0,Oct,Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,5,2018,Positive
137,Must buy!,1.0,0.0,Nov,It's is good product and the service was very goodREAD MORE,5,2022,Positive
138,Not recommended at all,1.0,0.0,Oct,2nd qualityREAD MORE,1,2022,Negative
139,Moderate,1.0,0.0,Oct,Local productREAD MORE,2,2022,Negative
140,Not good,1.0,0.0,Oct,Very old stock.. not lasts to even 5 gamesREAD MORE,2,2022,Negative
141,Utterly Disappointed,1.0,0.0,Oct,All shuttles are not good in view of balance.READ MORE,1,2022,Negative
142,Just wow!,0.0,0.0,Jul,OkREAD MORE,5,2022,Positive
143,Terrific purchase,1.0,0.0,Jul,Nice product all suttles are good 🥰🥰READ MORE,5,2022,Positive
144,Excellent,1.0,0.0,Jul,Nice productREAD MORE,5,2022,Positive
145,Could be way better,1.0,0.0,May,Old one onlyREAD MORE,2,2022,Negative
146,Perfect product!,1.0,0.0,May,Super ballREAD MORE,5,2022,Positive
147,Must buy!,0.0,0.0,Mar,According to cost it's average lifeREAD MORE,5,2022,Positive
148,Slightly disappointed,0.0,0.0,Mar,So worstREAD MORE,2,2022,Negative
149,Not recommended at all,0.0,0.0,Mar,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,1,2022,Negative
150,Did not meet expectations,0.0,0.0,Mar,Quality not good              It was broken after 2 matchREAD MORE,1,2022,Negative
151,Not good,0.0,0.0,Mar,Nice product but damage in 1 daysREAD MORE,2,2022,Negative
152,Useless product,0.0,0.0,Mar,Not good at all this is the worst product I have bought at flipkartREAD MORE,1,2022,Negative
153,Absolute rubbish!,0.0,0.0,Mar,Low quality. Not durabalityREAD MORE,5,2022,Positive
154,Hated it!,0.0,0.0,Mar,BadlyREAD MORE,1,2022,Negative
155,Don't waste your money,0.0,0.0,Mar,Very bad qualityREAD MORE,1,2022,Negative
156,Waste of money!,0.0,0.0,Feb,Very bad product a word to describe I write duplicate productREAD MORE,1,2022,Negative
157,Absolute rubbish!,1.0,0.0,Feb,This time quality very very worstREAD MORE,1,2022,Negative
158,Expected a better product,1.0,0.0,Feb,Poor quality ☹️READ MORE,2,2022,Negative
159,Horrible,0.0,0.0,Feb,Very  low bad quality product Flipkart is fooling everyoneREAD MORE,3,2022,Neutral
160,Expected a better product,0.0,0.0,Feb,"This shuttles were duplicates, these were not up to the mark.READ MORE",2,2022,Negative
161,Useless product,0.0,0.0,Feb,Very bad product I ever receivedREAD MORE,1,2022,Negative
162,Don't waste your money,0.0,0.0,Feb,Bad copy quality riceveREAD MORE,1,2022,Negative
163,Very poor,0.0,0.0,Feb,Waste of moneyREAD MORE,1,2022,Negative
164,Worthless,0.0,0.0,Jan,Quality is very bad and very very tired class shuttecockREAD MORE,1,2022,Negative
165,Unsatisfactory,0.0,0.0,Jan,WorstREAD MORE,1,2022,Negative
166,Useless product,0.0,0.0,Jan,So poor qualityREAD MORE,1,2022,Negative
167,Worthless,1.0,0.0,Jan,Reate is wery to muchREAD MORE,1,2022,Negative
168,Absolute rubbish!,1.0,0.0,Dec,The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,1,2021,Negative
169,Expected a better product,1.0,0.0,Dec,not upto mark cork getting cracksREAD MORE,2,2021,Negative
170,Horrible,1.0,0.0,Dec,Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,1,2021,Negative
171,Utterly Disappointed,1.0,0.0,Aug,"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",1,2021,Negative
172,Must buy!,1.0,0.0,Aug,Very goodREAD MORE,5,2021,Positive
173,Classy product,1.0,0.0,Jul,Good quality of shuttlesREAD MORE,5,2021,Positive
174,Brilliant,1.0,0.0,Jun,"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",5,2021,Positive
175,Terrible product,1.0,0.0,Jun,Bad productedREAD MORE,1,2021,Negative
176,Delightful,0.0,0.0,May,Good productREAD MORE,4,2021,Positive
177,Does the job,0.0,0.0,May,Received counterfeit product.READ MORE,3,2021,Neutral
178,Fabulous!,1.0,0.0,Apr,If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,5,2021,Positive
179,Terrific purchase,1.0,0.0,Mar,Good productREAD MORE,5,2021,Positive
180,Nice,1.0,0.0,Mar,One day 1cap gaanREAD MORE,3,2021,Neutral
181,Just wow!,1.0,0.0,Feb,GoodREAD MORE,5,2021,Positive
182,Best in the market!,1.0,0.0,Feb,Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,5,2021,Positive
183,Best in the market!,1.0,0.0,Nov,Good qualityREAD MORE,5,2020,Positive
184,Good,1.0,0.0,Aug,Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,3,2020,Neutral
185,Worth every penny,1.0,0.0,Aug,BestREAD MORE,5,2020,Positive
186,Good quality product,1.0,0.0,Jul,I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,4,2020,Positive
187,Great product,1.0,0.0,Jul,This item is so good you can buy it it is originalREAD MORE,5,2020,Positive
188,Wonderful,1.0,0.0,Jul,Excellent for Indoor courtREAD MORE,5,2020,Positive
189,Great product,1.0,0.0,May,Genuine product. Nice packing.READ MORE,5,2020,Positive
190,Highly recommended,0.0,0.0,Mar,Good quality..😍🖤READ MORE,5,2020,Positive
191,Very Good,0.0,0.0,Feb,Nice thanks  FlipkartREAD MORE,4,2020,Positive
192,Perfect product!,0.0,0.0,Feb,Nice productREAD MORE,5,2020,Positive
193,Good,1.0,0.0,Feb,"Gradual decrease in quality, less longevity.READ MORE",3,2020,Neutral
194,Perfect product!,0.0,0.0,Feb,Nice productREAD MORE,5,2020,Positive
195,Pretty good,1.0,0.0,Jan,wow productREAD MORE,4,2020,Positive
196,Did not meet expectations,1.0,0.0,Dec,1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,1,2019,Negative
197,Useless product,1.0,0.0,Dec,Product is not same as shown in the picture.READ MORE,1,2019,Negative
198,Nice,1.0,0.0,Dec,just Average.... not 100% goodREAD MORE,3,2019,Neutral
199,Utterly Disappointed,1.0,0.0,Dec,"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1,2019,Negative
200,Moderate,1.0,0.0,Dec,Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,2,2019,Negative
201,Decent product,0.0,0.0,Nov,I found that some of the shuttle are differentREAD MORE,3,2019,Neutral
202,Very poor,0.0,0.0,Nov,shuttle was not of genuine conectarte qualityREAD MORE,1,2019,Negative
203,Unsatisfactory,0.0,0.0,Nov,poor qualityREAD MORE,1,2019,Negative
204,Nice product,0.0,0.0,Nov,2 balls are waste. they are rotate. unable to play.READ MORE,4,2019,Positive
205,Worthless,0.0,0.0,Nov,very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,1,2019,Negative
206,Best in the market!,1.0,0.0,Sep,original productREAD MORE,5,2019,Positive
207,Not good,1.0,0.0,Sep,Shuttle not goodREAD MORE,2,2019,Negative
208,Excellent,1.0,0.0,Aug,good as expectedREAD MORE,5,2019,Positive
209,Highly recommended,1.0,0.0,Jul,goodREAD MORE,5,2019,Positive
210,Waste of money!,0.0,0.0,Jul,Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,1,2019,Negative
211,Must buy!,0.0,0.0,Jun,"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",5,2019,Positive
212,Nice product,0.0,0.0,May,Good👍READ MORE,4,2019,Positive
213,Simply awesome,1.0,0.0,May,very niceREAD MORE,5,2019,Positive
214,Best in the market!,1.0,0.0,May,niceREAD MORE,5,2019,Positive
215,Awesome,1.0,0.0,Apr,nice shuttle for outdoorREAD MORE,5,2019,Positive
216,Brilliant,1.0,0.0,Apr,good productREAD MORE,5,2019,Positive
217,Great product,0.0,0.0,Apr,amazing cost and amazing oneREAD MORE,5,2019,Positive
218,Nice product,1.0,0.0,Apr,The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,4,2019,Positive
219,Just wow!,1.0,0.0,Apr,good dilevary and very good productREAD MORE,5,2019,Positive
220,Fair,0.0,0.0,Mar,it's worthREAD MORE,3,2019,Neutral
221,Just okay,1.0,0.0,Mar,GoodREAD MORE,3,2019,Neutral
222,Did not meet expectations,0.0,0.0,Feb,Looks like these are fake shuttles & not sold by yonex.READ MORE,1,2019,Negative
223,Unsatisfactory,0.0,0.0,Feb,worst product not to buy low qualityREAD MORE,1,2019,Negative
224,Worst experience ever!,0.0,0.0,Feb,shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,1,2019,Negative
225,Hated it!,0.0,0.0,Feb,product is not goodREAD MORE,1,2019,Negative
226,Terrible product,0.0,0.0,Feb,"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",1,2019,Negative
227,Hated it!,0.0,0.0,Feb,bad qualityREAD MORE,1,2019,Negative
228,Simply awesome,1.0,0.0,Jan,Very good productREAD MORE,5,2019,Positive
229,Simply awesome,0.0,0.0,Jan,best quality shuttlesREAD MORE,5,2019,Positive
230,Classy product,1.0,0.0,Jan,good quality. value the moneyREAD MORE,5,2019,Positive
231,Good,1.0,0.0,Jan,very goodREAD MORE,3,2019,Neutral
232,Hated it!,1.0,0.0,Nov,Very worstREAD MORE,1,2018,Negative
233,Very Good,1.0,0.0,Oct,NOT BAD....READ MORE,4,2018,Positive
234,Classy product,1.0,0.0,Sep,shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,5,2018,Positive
235,Utterly Disappointed,1.0,0.0,Aug,"Bad Quality,,,,,,READ MORE",1,2018,Negative
236,Bad quality,1.0,0.0,Jul,Quality is not good. Little bit fast.READ MORE,2,2018,Negative
237,Must buy!,1.0,0.0,Mar,Excellent it's original as I buy in local sports storesREAD MORE,5,2018,Positive
238,Unsatisfactory,1.0,0.0,Feb,"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",1,2018,Negative
239,Unsatisfactory,1.0,3.0,Dec,The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,1,2020,Negative
240,Highly recommended,3.0,3.0,Aug,Nice product best price superREAD MORE,5,2018,Positive
